offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
THREATENING TEXT BY FACE BOO,W,F,25,75224,Suspended
UUMV,W,M,58,30238,Suspended
AGGR ASLT//DEADLY CONDUCT,Withheld,Withheld,Withheld,75217,Open
THEFT,L,F,46,75227,Suspended
UNEXPL DEATH//NATURAL DEATH,W,M,43,75225,Administratively Closed
CRIMINAL MISHIEF,L,F,18,75228,Suspended
LOST PROPERTY,W,M,52,75234,Suspended
CRIMINAL MISCHIEF,W,M,54,75287,Suspended
RECKLESS DAMAGE,L,M,44,75211,Suspended
ASSAULT F/V,Withheld,Withheld,Withheld,75231,Unfounded
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75228,Cleared by Arrest
BMV,L,F,22,75212,Suspended
UNEXPLAINED DEATH / SUICIDE,Withheld,Withheld,Withheld,75042,Administratively Closed
CRIMINAL MISCHIEF,B,M,49,75224,Suspended
INV OF CRIMINAL MISCHIEF,B,F,45,75224,Suspended
THEFT,B,M,53,75216,Suspended
ASSAULT M/C F/V,Withheld,Withheld,Withheld,75211,Cleared by Arrest
THEFT,B,F,58,75243,Suspended
BURGLARY OF MOTOR VEHICLE,L,M,26,75211,Suspended
CRIMINAL MISCHIEF,W,F,68,75231,Suspended
AGG SEXUAL ASSULT/CHILD,Withheld,Withheld,Withheld,75224,Suspended
BURG OF BUSINES,L,F,63,75211,Suspended
BMV,L,M,21,75211,Suspended
INVESTIGATION OF THEFT,B,M,62,75216,Suspended
AGGRAVATED ASSAULT,L,M,27,75240,Suspended
AGG ASSAULT DEADLY WEAPON,L,F,25,75216,Suspended
AGGRAVATED ASSAULT,L,M,34,75216,Suspended
INVESTIGATION OF UUMV/RECOVERD,B,F,29,75243,Open
CRIMINAL MISCHIEF,L,F,33,75201,Suspended
CRIMINAL MISCHIEF,B,M,28,75231,Suspended
THEFT,B,F,58,75115,Suspended
ATTEMPT TO DISARM OFFICER,W,M,26,75214,Cleared by Arrest
INV. OF BURGLARY/RESIDENCE,B,M,47,75241,Suspended
CRIMINAL MISCHIEF,B,M,21,75233,Suspended
ATTEMPT SUICIDE,Withheld,Withheld,Withheld,75211,Suspended
HARRASMENT,L,F,35,75229,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75217,Cleared by Arrest
BMV           (PRIMARY),L,M,19,75231,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75115,Suspended
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
BURG OF RESIDENCE,B,M,43,75254,Suspended
DUTY ON STRIKE UNATTEND VEH,B,F,29,75211,Suspended
BURGLARY/HABITATION,L,M,34,75214,Cleared by Arrest
BMV,L,M,37,75233,Suspended
THEFT,L,M,26,75212,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75231,Cleared by Arrest
INVESTIGATION OF UUMV,B,M,35,75061,Suspended
THEFT,W,F,84,75211,Suspended
NATURAL DEATH,C,F,90,75225,Suspended
AUTO ACC THEFT,B,F,35,75007,Suspended
INJURED PERSON,B,M,34,75236,Suspended
ONL SOL MIN(HARMFU DISP MINOR),Withheld,Withheld,Withheld,75287,Suspended
BMV,W,M,61,55038,Suspended
INV OF THEFT,B,F,32,75201,Suspended
THEFT,W,M,43,75223,Suspended
HARASSING PHONE CALLS/TEXTS,B,F,48,75287,Cleared by Exceptional Arrest
INVESTIGATION OF U.U.M.V.,B,M,57,75218,Suspended
CRIMINAL MISCHIEF,L,M,20,75227,Suspended
BMV,W,M,45,78654,Suspended
ASSAULT M/A  F/V,Withheld,Withheld,Withheld,75227,Cleared by Arrest
ACC INV DMG VEH,W,F,24,75043,Suspended
AGG SEX ASLT//CONT SEX ABUSE,Withheld,Withheld,Withheld,75080,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75248,Administratively Closed
HARASSMNT-THREATENING PH CALLS,B,F,32,75203,Suspended
INVEST OF ASSAULT,B,F,55,75203,Suspended
AGG ASSAULT D/W,B,M,61,75201,Suspended
BMV,W,M,44,75248,Suspended
BURGLARY STORAGE BUILDING,B,M,52,75215,Suspended
BMV,W,M,42,75204,Suspended
AGG ASSAULT W/DEADLY WEAPON,Withheld,Withheld,Withheld,75216,Suspended
BMV,B,F,32,75217,Suspended
UUMV,L,M,37,75217,Suspended
VIOLATION OF PROTECTIVE ORDER,Withheld,Withheld,Withheld,75217,Cleared by Arrest
BMV,B,F,20,75233,Suspended
BURGLARY OF A HAB,B,F,55,75216,Suspended
ACC INV DMG VEHICLE,W,F,25,75243,Suspended
INVESTIGATION OF FRAUD,W,F,55,75080,Suspended
CRIMINAL MISCHIEF,B,F,27,75216,Suspended
INJURED PERSON,Withheld,Withheld,Withheld,75253,Administratively Closed
WANT TO LOCATE,B,F,17,75180,Administratively Closed
INVESTIGATION OF BURGLARY,B,F,41,75220,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Suspended
INVEST OF OBSCENE PHONE CALLS,W,F,52,75254,Suspended
"ASSAULT M/C  ""FV""",Withheld,Withheld,Withheld,75204,Cleared by Arrest
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75201,Suspended
ROBBERY//THEFT FROM PERSON,W,M,71,75243,Open
ASSAULT FV M/C,Withheld,Withheld,Withheld,75231,Cleared by Arrest
ACC INV DMG VEHICLE,W,F,27,75240,Suspended
AGG ASSLT PEACE OFFICER,W,M,32,75231,Suspended
CRIMINAL TRESPASS,B,M,66,75232,Cleared by Arrest
BMV,W,F,25,75209,Suspended
BURGLARY OF BUILDING,L,F,29,75224,Suspended
BMV,L,F,22,75211,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75237,Cleared by Exceptional Arrest
BMV,B,F,46,75216,Suspended
ACC INV DMG VEHICLE,B,M,27,75208,Suspended
ATTEMPTED SUICIDE,Withheld,Withheld,Withheld,75246,Suspended
FLID,L,F,45,75215,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75236,Suspended
BURGLARY OF A RESIDENCE,B,F,67,75241,Suspended
INV OF BURGLARY,L,M,26,75208,Suspended
THEFT,W,M,30,75205,Suspended
THEFT,B,F,25,75216,Suspended
INVESTIGATION OF ASSAULT,B,M,47,75243,Suspended
UUMV,L,M,34,75220,Suspended
BMV,B,F,25,75212,Suspended
THEFT,W,F,57,75088,Suspended
ASSAULT MC,Withheld,Withheld,Withheld,75227,Suspended
INV FRAUD,B,F,32,75215,Suspended
WANT TO LOCATE,B,F,39,75241,Administratively Closed
UUMV,B,F,34,75217,Suspended
ACC INV PERS INJ,B,F,41,75228,Suspended
BURGLARY,W,M,24,75227,Suspended
INVESTIGATION OF ASSAULT,L,M,29,75150,Suspended
BURGLARY OF BUILDING,W,M,36,75001,Suspended
ASSAULT THREATS DV F/V M/C,Withheld,Withheld,Withheld,75257,Cleared by Arrest
INV OF BMV//BMV,B,M,27,75232,Suspended
CRIMINAL MISCHIEF,L,M,18,75216,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75231,Cleared by Arrest
ACC INV PERS INJ OR DEATH,L,M,37,75149,Suspended
ACC INV DMG VEHICLE,W,M,23,75252,Suspended
UUMV,L,M,27,75211,Suspended
CRIM MISCH,B,M,33,75287,Suspended
CRIMINAL MISCHIEF,W,M,24,75243,Suspended
BURGLARY OF RESIDENCE,W,M,27,75252,Suspended
ASLT VERBAL THREAT,Withheld,Withheld,Withheld,75149,Suspended
THEFT,W,M,56,75225,Suspended
INV OF ROBBERY OF INDIVIDUAL,A,M,34,75231,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75211,Cleared by Arrest
SWINDLE/ELDERLY,W,M,86,75244,Suspended
THEFT,C,F,26,75254,Suspended
BURGLARY OF A RESIDENCE,L,F,38,75214,Suspended
PROTECTIVE CUSTODY,W,M,21,76132,Suspended
BURGLARY OF RESIDENCE,B,M,29,75240,Suspended
INV OF STALKING F/V,W,F,53,75238,Unfounded
CRIMINAL MISCHIEF,B,M,50,75231,Suspended
ASSAULT M/C OFFENSIVE CONTAC,Withheld,Withheld,Withheld,75216,Cleared by Arrest
ASSAULT FV STRANGULATION,Withheld,Withheld,Withheld,75205,Cleared by Exceptional Arrest
BURGLARY,B,M,32,75243,Suspended
INVESTIGATION OF THEFT,B,F,53,75216,Suspended
THEFT FROM PERSON,L,F,25,76039,Suspended
AGG ROBBERY,L,F,25,75227,Suspended
INVEST. OF CRIMINAL TRESPASS,B,F,40,75226,Suspended
BMV,W,F,27,75204,Suspended
INV OF BURGLARY OF MOTOR VEH,L,M,56,75211,Suspended
DUTY ON STRIKE FIX OR HWY LAND,L,F,34,75216,Suspended
UUMV,L,F,51,75211,Suspended
BURGLARY,L,F,24,75220,Cleared by Arrest
BMV,L,M,27,75253,Suspended
BMV,B,M,41,77084,Suspended
FLID (ACC DMG INV VEH),B,M,27,75227,Suspended
ACC INV DAMAGE VEHICLE,L,F,29,75081,Suspended
INV OF UUMV,B,M,46,75241,Suspended
AGG ROBBERY,L,M,47,75231,Cleared by Arrest
INVEST OF IDENTITY THEFT,W,M,61,75209,Suspended
INVEST. OF FORGERY,B,F,51,75137,Suspended
THEFT,L,M,38,75043,Suspended
BMV,C,M,26,75243,Suspended
BURGLARY OF A RESIDENCE,W,M,51,75231,Suspended
DUTY ON STRIKE UNATTEND VEH,W,F,28,75023,Suspended
BMV,B,F,41,75237,Suspended
CREDIT CARD FRAUD,L,M,47,75211,Suspended
BURGLARY OF A RESIDENCE,B,F,22,75232,Suspended
INVESTIGATION OF THEFT,L,M,34,75217,Suspended
INVEST INTERNET FRAUD,L,F,41,75215,Suspended
BURGLARY OF MOTOR VEHICLE,A,F,23,75231,Suspended
ACC INV DAMAGE VEHICLE,B,M,62,75243,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75243,Cleared by Arrest
ASSAULT  M/C,Withheld,Withheld,Withheld,75206,Suspended
HARRASSMENT -PHONE,B,M,57,75228,Suspended
RECKLESS DAMAGE,B,F,31,75007,Suspended
BMV         (PRIMARY),L,M,33,77073,Suspended
CRIMINAL MISCHIEF (GRAFFITI),B,F,57,75243,Suspended
UUMV,L,F,26,75227,Suspended
BMV,B,M,21,75233,Suspended
UUMV,W,M,53,75235,Suspended
INJURED PERSON,W,M,37,75248,Suspended
INVESTIGATION OF BURGLARY,B,F,51,75237,Suspended
THREATEN PHONE CALL,B,M,45,75223,Suspended
THEFT AUTO ACC,B,F,27,75219,Suspended
INV AGG ASSAULT//AGG ASSAULT,B,F,30,75232,Suspended
UUMV,L,M,40,75236,Suspended
BURGLARY MOTOR VEHICLE,W,M,27,75204,Suspended
INV OF THEFT,B,F,22,75238,Suspended
BURGLARY OF RESIDENCE,B,M,20,75237,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75229,Suspended
BURGLARY OF MOTOR VEHICLE,L,M,35,75217,Suspended
BMV,W,M,48,75243,Suspended
BURGLARY,L,M,43,75217,Cleared by Arrest
THREATENING LETTER,W,M,55,75220,Unfounded
ASSAULT FV CLASS A,Withheld,Withheld,Withheld,75052,Cleared by Exceptional Arrest
BMV,B,F,28,75216,Suspended
BURGLARY /BUSINESS,W,M,21,76012,Suspended
CRIMINAL MISCHEIF,B,M,22,75231,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75203,Administratively Closed
AGGRAVATED ASSAULT F/V,W,F,47,71106,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75211,Administratively Closed
INVEST OF ASSAULT M/A,W,F,47,75201,Suspended
ACC INV DMG VEHICLE,L,M,29,75211,Suspended
BURG OF VACANT RESIDENCE,W,M,65,75243,Open
UUMV,B,M,35,75115,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75243,Administratively Closed
THEFT,W,F,39,76060,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75215,Cleared by Arrest
BURGLARY OF BUILDING,B,M,67,75216,Suspended
STOLEN/RECOVERED,B,M,27,75227,Suspended
AGGRAVATED SEXUAL ASSAULT,Withheld,Withheld,Withheld,75241,Unfounded
ASSAULT MC (FV),Withheld,Withheld,Withheld,76015,Cleared by Arrest
INVEST OF ASSAULT THREATS,W,F,20,75243,Suspended
INVESTIGATION ROBBERY,W,M,56,75022,Suspended
BMV,W,M,44,75214,Suspended
INVEST OF CRIMINAL MISCHIEF,B,M,24,75203,Suspended
INJURED PERSON,L,F,29,75150,Suspended
THEFT,C,F,30,75287,Suspended
CRIMINAL MISCHIEF,W,F,69,75211,Suspended
UUMV,L,M,44,75203,Suspended
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75218,Unfounded
CRIMINAL MISCHIEF,L,F,55,75217,Suspended
ACC INV DMG VEHICLE,L,M,67,75206,Suspended
ACC INV DMG VEH,L,F,23,75211,Suspended
BURGLARY OF MOTOR VEHICLE,A,F,19,75067,Suspended
UUMV,L,M,35,75228,Suspended
INV CREDIT/DEBIT CARD ABUSE,L,F,37,75204,Administratively Closed
ASSAULT FV MC,Withheld,Withheld,Withheld,75212,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75241,Cleared by Exceptional Arrest
FIELD RELEASE/PROTECTIVE CUSTO,B,M,30,75210,Suspended
AGG SEXUAL ASSAULT OF A CHILD,Withheld,Withheld,Withheld,75252,Unfounded
INV OF BURGLARY//BURGLARY,B,F,52,75224,Cleared by Exceptional Arrest
BMV,W,F,28,75244,Suspended
BURG OF RES,B,F,35,75217,Suspended
INV OF ROBBERY///ROBBERY,B,F,19,75243,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,F,56,75212,Suspended
INV OF BURGLARY//BURGLARY,W,M,71,75093,Suspended
INV THEFT,W,M,64,75219,Suspended
UUMV,W,F,28,90025,Suspended
ACC INV DAMAGE VEHICLE,B,F,57,75212,Suspended
INVESTIGATION OF B.M.V.,W,M,28,75209,Suspended
BURGLARY OF RES,L,M,19,75228,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75218,Suspended
THEFT,W,M,20,75206,Suspended
BURGLARY OF HABITATION,W,F,56,75220,Open
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75217,Suspended
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75212,Cleared by Exceptional Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75231,Suspended
ASSAULT/ FV M/A,Withheld,Withheld,Withheld,75287,Open
HARRASSING PHONE CALLS,B,F,49,75217,Suspended
UUMV,W,F,51,62858,Suspended
BURG OF HAB,L,F,39,75220,Suspended
CRIMINAL MISCHIEF,W,M,34,75253,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75217,Administratively Closed
ASSAULT M/A,Withheld,Withheld,Withheld,75287,Cleared by Arrest
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75228,Cleared by Arrest
BURGLARY OF RESIDENCE,W,M,69,75220,Suspended
BURGLARY OF A VEHICLE,W,M,25,77803,Cleared by Arrest
UUMV,L,M,28,75211,Unfounded
ASSUALT FV M/A,Withheld,Withheld,Withheld,75252,Suspended
INV OF IDENTITY THEFT,W,F,53,75220,Suspended
THEFT,B,F,27,75217,Suspended
BURG RESD,B,F,35,75241,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75228,Suspended
BURGLARY OF RESIDENCE,B,M,31,75221,Suspended
CONTINUOUS SEXUAL ABUSE,Withheld,Withheld,Withheld,79706,Cleared by Arrest
ASSAULT (FV) M/C,Withheld,Withheld,Withheld,75217,Cleared by Arrest
WANT-TO-LOCATE,B,M,17,75231,Administratively Closed
RUNAWAY,Withheld,Withheld,Withheld,75224,Administratively Closed
ACC INV DMG VEH,W,F,67,75219,Suspended
BURGLARY OF HABITATION,W,F,54,75243,Suspended
INV OF IDENTITY THEFT,W,M,44,84118,Suspended
ACC INV PERS INJ,W,M,51,76040,Suspended
BURGLARY,L,M,76,75204,Suspended
INTERFERENCE W/ CHILD CUSTODY,Withheld,Withheld,Withheld,75240,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75051,Cleared by Arrest
INJURED PERSON,L,F,50,75217,Suspended
LOST PROPERTY,L,F,26,76065,Suspended
DEADLY CONDUCT,B,F,20,75228,Suspended
INVESTIGATION OF ROBBERY,W,M,40,75287,Suspended
UUMV,B,M,24,52317,Suspended
AGG ROBBERY,B,M,51,75115,Suspended
UUMV,B,M,23,75211,Suspended
BMV,L,M,60,75215,Suspended
THEFT,W,F,57,75201,Suspended
ACC INV DMG VEHICLE,L,M,52,75253,Suspended
BMV,L,M,27,75287,Suspended
BURGLARY/ASSAULT,Withheld,Withheld,Withheld,75210,Cleared by Arrest
DEADLY CONDUCT,B,F,25,75227,Cleared by Arrest
FV ASSAULT,Withheld,Withheld,Withheld,75241,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75249,Cleared by Arrest
INVEST OF BURGLARY OF A RESI,W,F,33,75211,Suspended
INVEST OF THEFT BY DECEPTION,A,F,50,75074,Suspended
CREDIT CARD ABUSE,W,M,62,75042,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75215,Suspended
HARASSING,B,M,43,75287,Unfounded
ROBBERY,B,F,45,75201,Cleared by Arrest
INV OF ASSAULT M/C,C,M,29,75013,Suspended
THEFT,L,F,59,75215,Suspended
THEFT,W,M,60,75248,Unfounded
UUMV,B,F,39,75220,Cleared by Exceptional Arrest
ASSAULT M/C FV,Withheld,Withheld,Withheld,75220,Open
BMV,W,M,29,75214,Suspended
CRIMINAL MISCHIEF,B,F,21,71107,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75211,Administratively Closed
BURGLARY OF A MOTOR VEHICLE,W,M,70,75189,Suspended
INV OF IDENTITY THEFT,W,F,36,75238,Suspended
FV ASSAULT M/C,Withheld,Withheld,Withheld,75704,Cleared by Arrest
ATTEMPT SUICIDE,Withheld,Withheld,Withheld,75233,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75253,Administratively Closed
SEXUAL ASSAULT OF MINOR,Withheld,Withheld,Withheld,76253,Suspended
AGGRAVATED ASSAULT,W,M,36,75228,Suspended
ROBBERY,L,M,20,75217,Suspended
UUMV / RECOVERED STOLEN,B,M,58,75023,Suspended
ROBBERY,L,F,20,75220,Suspended
CRIMINAL MISCHIEF,L,M,44,75061,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75237,Cleared by Exceptional Arrest
INV IDENTITY THEFT,L,M,62,75060,Suspended
CRIMINAL MISCHIEF,B,F,52,75212,Suspended
THREATENING PHONE CALL,L,F,55,75227,Suspended
AGG ASSAULT,W,M,28,75042,Unfounded
BURGLARY OF RESIDENCE,B,F,73,75227,Suspended
THEFT OF PROPERTY,L,F,38,75211,Unfounded
BMV,B,M,35,75231,Suspended
UUMV/RECOVERED,B,M,73,75217,Suspended
ASSAULT MA FV,Withheld,Withheld,Withheld,75211,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,M,27,75234,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
CHILD ABANDONMENT,Withheld,Withheld,Withheld,75220,Cleared by Exceptional Arrest
INV OF DEADLY CONDUCT,Withheld,Withheld,Withheld,75228,Suspended
INVESTIGATION OF UUMV,B,M,31,75217,Suspended
BMV,W,F,39,75080,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75238,Administratively Closed
ASSAULT F/V,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
ATTEMPTED SUICIDE,Withheld,Withheld,Withheld,75228,Suspended
INV OF THEFT,B,F,28,75216,Unfounded
ID THEFT,W,F,28,75204,Suspended
INVESTIGATION OF ROBBERY,W,M,23,75214,Administratively Closed
UUMV,W,F,37,77043,Suspended
INTERFERENCE W/ CHILD CUSTODY,Withheld,Withheld,Withheld,75131,Cleared by Exceptional Arrest
INTERF W/CHILD CUSTODY,Withheld,Withheld,Withheld,75050,Suspended
THEFT OF AUTO ACCESSORY,L,F,35,75220,Suspended
BURGLARY,L,F,47,75224,Suspended
BMV,B,F,27,75240,Suspended
ACC INV DMG VEHICLE,W,F,39,76262,Suspended
UUMV,B,M,48,75216,Suspended
CRIMINAL MISCHIEF,W,M,36,75051,Suspended
THEFT,L,M,42,75224,Suspended
INV OF THEFT BY DECEPTION,B,F,19,75211,Suspended
HARASSING PHONE CALLS/TEXT M,B,F,30,75210,Cleared by Exceptional Arrest
ACC INV DMG VEH,B,F,48,75240,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75146,Suspended
INV OF UUMV,W,M,58,75043,Suspended
THEFT,B,M,50,75216,Suspended
ASSAULT OF A PUBLIC SERVANT,Withheld,Withheld,Withheld,75215,Cleared by Arrest
HARRASMENT,Withheld,Withheld,Withheld,75233,Suspended
INV OF CRIMINAL MISCHIEF,W,F,48,32738,Suspended
BURGLARY OF MOTOR VEHICLE,W,F,23,75219,Suspended
CRIMINAL MISCHIEF,L,M,41,75220,Suspended
CRIMINAL MISCHIEF,W,F,52,75216,Suspended
"THEFT, M/A",W,M,63,75234,Suspended
ACC INV DMG VEH,L,M,41,75217,Suspended
ACC INV DAMAGE VEHICLE,L,M,32,75214,Suspended
HARASSING TEXT MESSAGES,B,M,54,75208,Open
ASSAULT M/C,Withheld,Withheld,Withheld,75235,Unfounded
ASSAULT FV MA,Withheld,Withheld,Withheld,75224,Cleared by Arrest
SEX ASSAULT,Withheld,Withheld,Withheld,75217,Suspended
BURG RESIDENCE,B,M,50,75227,Suspended
BURGLARY,L,M,34,75146,Cleared by Arrest
BMV,B,M,28,75233,Suspended
CRIMINAL MISCHIEF,B,F,61,75217,Suspended
MANSLAUGHTER,B,F,20,75232,Cleared by Arrest
UUMV,L,F,27,75150,Suspended
THEFT (AUTO ACCESSORY),B,M,30,75225,Suspended
BMV,W,F,33,75218,Suspended
BMV//PRIMARY,W,F,29,75253,Suspended
BMV,W,F,20,75205,Suspended
INV OF IDENTITY THEFT,W,M,52,75244,Suspended
DUTY ON STRIKE UNATTEND VEH,B,M,59,75048,Suspended
AUTO ACCESSORY THEFT,W,F,86,75243,Suspended
INJURED PERSON,B,M,22,75238,Suspended
AGG SEX ASL,Withheld,Withheld,Withheld,75231,Suspended
RECKLESS DAMAGE,B,M,54,75204,Suspended
B.M.V.,W,F,51,75204,Suspended
THEFT,W,F,70,75043,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75217,Suspended
CRIMINAL MISCHIEF,W,F,19,75204,Suspended
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75231,Cleared by Exceptional Arrest
DAMAGED PROPERTY,B,F,33,75237,Suspended
UUMV,L,M,38,75203,Suspended
ACC INV DMG VEHICLE,I,M,59,75211,Suspended
BMV,L,M,70,75232,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75241,Cleared by Arrest
UNEXPLAINED DEATH/SUICIDE,Withheld,Withheld,Withheld,75216,Administratively Closed
ASSAULT FV,Withheld,Withheld,Withheld,75210,Cleared by Arrest
BURGLARY OF MOTOR VEHICLE,W,M,29,75098,Suspended
INVESTIGATION OF BMV,L,M,20,75254,Suspended
BMV,W,M,24,75137,Suspended
ASSAULT FV/ M/A,Withheld,Withheld,Withheld,75227,Cleared by Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75212,Cleared by Arrest
ASSAULT PUBLIC SERVANT,Withheld,Withheld,Withheld,75241,Open
CON SEXUAL ASSAULT OF MINOR,Withheld,Withheld,Withheld,75211,Cleared by Arrest
ATTEMPT SUICIDE/APOWW,Withheld,Withheld,Withheld,75252,Suspended
RECKLESS DAMAGE,W,M,68,75254,Open
RECKLESS DAMAGE,L,M,29,76010,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75211,Cleared by Arrest
ASSAULT   M/A,Withheld,Withheld,Withheld,75115,Suspended
BURGLARY OF VACANT HOUSE,B,M,55,75249,Suspended
ACC INV DMG VEH,W,M,50,76802,Suspended
INDECENT EXPOSURE,Withheld,Withheld,Withheld,75208,Suspended
BURGLARY OF HABITATION,L,M,45,75211,Suspended
BMV,L,M,25,75228,Suspended
CRMINAL MISCHIEF,W,M,53,75224,Suspended
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75208,Cleared by Arrest
THEFT-THEFT FROM PERSON,L,M,38,75211,Cleared by Arrest
CRIMINAL MISCHIEF,W,F,99,75217,Suspended
CRIMINAL MISCHIEF,B,F,26,75228,Suspended
FLID,B,F,38,75228,Suspended
THEFT,W,F,86,75214,Suspended
THEFT,B,F,36,75216,Suspended
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75217,Cleared by Arrest
RUNAWAY/MISSING PERSON,Withheld,Withheld,Withheld,75220,Suspended
BURGLARY OF RESIDENCE,B,F,24,75236,Suspended
AGG SEX ASSAULT,Withheld,Withheld,Withheld,75212,Cleared by Arrest
BMV,W,M,41,46055,Suspended
BMV,W,F,32,75010,Suspended
BURGLARY OF A RESIDENCE,B,F,33,75252,Suspended
CRIMINAL MISCHIEF,L,M,29,75211,Suspended
INVEST. OF BURGLARY OF HABIT,B,F,54,75218,Suspended
BMV,W,F,30,75204,Suspended
CRIMINAL MISCHIEF,B,M,23,75251,Suspended
RECKLESS DAMAGE,B,M,28,75287,Suspended
ACC INV DMG VEH,B,M,21,75217,Suspended
BURGLARY OF RESIDENCE,L,F,24,75217,Suspended
INV OF BURG,A,F,19,75067,Suspended
CRIMINAL MISCHIEF,B,F,32,75243,Suspended
HARASSMENT PHONE CALLS,B,F,36,75235,Suspended
THEFT FROM A PERSON,Withheld,Withheld,Withheld,75228,Suspended
HARASSMENT THREATENING CALL,B,F,22,75125,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75211,Administratively Closed
THEFT AUTO ACCESSORIES,B,F,34,75236,Suspended
ASSAULT,Withheld,Withheld,Withheld,75220,Suspended
UUMV,W,M,46,75047,Suspended
INVEST OF THEFT,W,M,21,75232,Suspended
THEFT,B,M,59,75232,Suspended
CRIMINAL MISCHIEF,L,F,46,75217,Cleared by Exceptional Arrest
ATTEMPT BURGLARY,B,F,35,75248,Suspended
WANT TO LOCATE,L,F,17,75287,Administratively Closed
CRIMINAL MISCHIEF,W,M,62,75253,Suspended
THEFT,W,M,61,75209,Suspended
INV OF THEFT,B,F,48,75217,Suspended
RESIDENTIAL BURGLARY,W,M,27,75231,Suspended
THEFT,W,F,32,75206,Suspended
AGG ASSAULT WITH DEADLY WEAP,B,M,31,75116,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,L,M,23,75231,Suspended
ASSAULT F/V,Withheld,Withheld,Withheld,75217,Open
CRIMINAL MISCHIEF,B,F,41,75228,Suspended
AGG ASSAULT,L,M,30,75227,Suspended
B.M.V.,C,F,32,75235,Suspended
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75228,Cleared by Arrest
BURG OF STORAGE UNIT,W,M,23,75080,Suspended
BMV,B,M,20,75243,Suspended
INVESTIGATION OF BURG OF RES,B,F,30,75217,Suspended
THEFT,W,M,58,75231,Suspended
CRIMINAL MISCHIEF,B,F,32,75212,Suspended
UNEXPLAINED DEATH,W,F,26,75201,Suspended
THEFT,B,F,63,75249,Suspended
CRIMINAL MISCHIEF,A,F,27,75211,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75211,Cleared by Arrest
ASSAULT (F/V) M/C,Withheld,Withheld,Withheld,75215,Cleared by Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75211,Cleared by Arrest
UNEXPLAINED DEATH,A,F,69,75229,Suspended
AUTO ACC THEFT,W,M,54,75080,Suspended
DOG BITE,Withheld,Withheld,Withheld,75215,Suspended
BMV,W,M,20,75254,Suspended
B.M.V.,W,M,25,75235,Cleared by Arrest
UUMV,L,F,29,75216,Suspended
