offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
TERRORISTIC THREAT,W,M,53,75023,Suspended
BMV,L,F,33,75214,Suspended
DUTY ON STRIKE UNATTEND VEH,A,F,44,75204,Suspended
BURGLARY OF MOTOR VEHICLE,W,M,35,66083,Suspended
INV OF BMV,W,M,25,75201,Suspended
CRIMINAL MISCHIEF,B,F,18,75237,Suspended
DEADLY CONDUCT,Withheld,Withheld,Withheld,75223,Suspended
INJURED PERSON,Withheld,Withheld,Withheld,75220,Administratively Closed
BURGLARY,L,M,43,75220,Suspended
THEFT,W,M,51,75206,Suspended
ASSAULT,Withheld,Withheld,Withheld,75243,Cleared by Arrest
ROBBERY  (PRIMARY),W,F,37,75204,Cleared by Arrest
ACC INV DMG VEH  FLID,L,F,34,75204,Suspended
BMV,C,F,28,75081,Suspended
ASSAULT FAMILY VIOLENCE,Withheld,Withheld,Withheld,75216,Unfounded
THEFT,B,F,35,75216,Cleared by Arrest
INJURED PERSON,B,M,35,75216,Suspended
ACC INV DMG VEH/FLID,W,M,37,75214,Suspended
BMV,B,F,43,75243,Suspended
ACC INV DMG VEH,B,F,59,75217,Suspended
INVEST OF THEFT//THEFT,B,F,22,75228,Suspended
UUMV,W,M,70,75220,Suspended
INVESTIGATION OF THEFT,L,M,26,75220,Suspended
INV OF PHONE HARASSMENT,W,F,87,75230,Suspended
BMV,W,F,41,75238,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75228,Administratively Closed
CRIMINAL MISCHIEF,W,F,22,75243,Suspended
AGG ASSAULT W/DEADLY WEAPON,B,M,23,75217,Cleared by Exceptional Arrest
WANT TO LOCATE,B,M,30,75134,Administratively Closed
BURGLARY OF RESIDENCE,L,F,32,75217,Open
UUMV,W,M,27,75233,Suspended
UNEXPLAINED DEATH,W,M,51,75211,Suspended
THEFT AUTO ACCESSORY,L,M,21,75228,Suspended
BURGLARY OF RESIDENCE,W,F,30,75206,Suspended
ACCDNT INVOLV DAMAGED VEH,L,M,24,75167,Suspended
INDECENCY WITH A CHILD/CONTACT,Withheld,Withheld,Withheld,75227,Unfounded
INV OF BURGLARY,B,F,20,75211,Suspended
ACC INV DMG VEH,L,F,53,75052,Suspended
ACC INV DMG VEHICLE,W,F,24,75043,Suspended
CRIMINAL MISCHIEF,L,F,20,75052,Suspended
INVESTIGATION OF AGG ASSAULT,B,F,21,75237,Suspended
AGG ASSAULT FV,W,M,32,75211,Cleared by Exceptional Arrest
WANTED TO LOCATE,B,M,18,75228,Administratively Closed
AGGRAVATED ASSAULT FV,B,M,56,75220,Cleared by Arrest
THEFT,W,F,69,75228,Suspended
UUMV,B,F,44,75243,Suspended
ASSAULT,Withheld,Withheld,Withheld,75243,Cleared by Exceptional Arrest
UNLAWFUL RESTRAINT,L,M,50,75212,Cleared by Arrest
HARASSMENT THREATENING CALL,B,M,45,75223,Suspended
ASSAULT M/A//ASSAULT MC,Withheld,Withheld,Withheld,75216,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75227,Administratively Closed
BURGLARY OF RESIDENCE,B,F,19,75231,Suspended
FORGERY,L,F,24,75211,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75216,Suspended
INJURED PERSON,L,M,29,75206,Suspended
BURGLARY OF A BUILDING,B,M,64,75115,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75254,Suspended
CRIMINAL MISCHIEF,B,M,56,75214,Suspended
INV OF IDENTITY THEFT,B,F,26,76112,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75216,Cleared by Arrest
INV OF FORGERY,A,F,35,75205,Suspended
BURGLARY OF RESIDENCE,W,F,49,75209,Suspended
BURG OF GARAGE,W,F,56,75217,Suspended
INV OF HARASSMENT/PHONE CALLS,L,F,31,75227,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75241,Cleared by Arrest
ACC INV DAMAGE VEHICLE/FLID,W,F,26,75223,Suspended
BMV,B,F,56,75217,Suspended
THREATENING PHONE CALLS,L,F,29,75203,Cleared by Exceptional Arrest
AUTO ACC.THEFT,W,M,41,75218,Suspended
ASSAULT FV MA,Withheld,Withheld,Withheld,75237,Cleared by Arrest
"ASSAULT(FV)(STRANG)22.01,F/3",Withheld,Withheld,Withheld,75211,Cleared by Exceptional Arrest
ACC INV DAMAGED VEH,L,F,25,75223,Suspended
ROBBERY,Withheld,Withheld,Withheld,75232,Suspended
INV OF HARASSMENT/PHONE CALLS,L,M,19,75243,Suspended
AGG ASSAULT/DW,L,M,23,75061,Cleared by Arrest
BURGLARY,B,M,40,75235,Suspended
CRIMINAL MISCHIEF,B,F,49,75203,Suspended
BURG OF RESID,B,F,22,75228,Suspended
BMV,B,M,49,75217,Suspended
INJURED PERSON,L,M,36,75228,Suspended
CRIMINAL MISCHIEF,B,M,75,75210,Suspended
CRIMINAL MISCHIEF,W,M,59,75208,Suspended
